Title,Company,Domain,Job Description,Skills,Experience Level,Salary,Location,Work Type,End Date,Source
"""java developer""",Thinqor,Backend / API,"Java Developer (6 Years Experience) We are looking for an experienced Java Developer to join our dynamic team for an exciting project with a leading client. Role Details: Location: Bangalore Key Requirements: 6 years of hands-on experience in Java development Strong expertise in Core Java, Spring Boot, Microservices Experience with REST APIs & backend development Good understanding of databases (SQL/NoSQL) Familiarity with Agile methodologies Skills:- Java, Spring Boot, Microservices, SQL, NOSQ…","Java, C, Go, R, REST API, Spring Boot, SQL, NoSQL, Agile, Microservices, ROS",Lead/Principal (8+ yrs),"₹1,000,000 - ₹1,300,000",Bengaluru,Onsite,2026-05-05,Adzuna
Java Developer,Recro,Game / AR / VR,"Job Title: Java Developer - Immediate Joiners Only Recro, a leading software development company, is currently seeking a skilled and motivated Java Developer to join our team. If you have a minimum of 3 years of experience in Java development and are eager to work on exciting projects, we encourage you to apply for this opportunity. Responsibilities: - Collaborate with a team of talented developers to design, develop, and maintain high-quality Java-based applications. - Write clean, efficient, …","Java, C, R, Unity",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-18,Adzuna
Java Developer,Sp Staffing,AI / ML / Data Science,Warm greetings from SP Staffing! We're actively seeking a Java Developer for a permanent opportunity. Experience Required : We're looking for professionals with 4 to 10 years of experience in Java development. Work Location : This role is based in Chennai . Required Skills Spring Boot : Strong proficiency in Spring Boot for building robust and efficient applications. Microservices : Hands-on experience with Microservices architecture for developing scalable and independent services. API Develop…,"Java, C, Scala, R, Spring Boot, Microservices, Unity, ROS",Lead/Principal (8+ yrs),Not Disclosed,Chennai,Onsite,2026-05-04,Adzuna
Java Developer,codersbrain,Game / AR / VR,"Title: Software Engineer Location: Noida preference Years of Exp: 2-4 I need a Java Developer who has Java development experience with minimum - 6 months of experience in Groovy and Grails both.(must) Must have good communication. Skills:- Groovy, Java and Grails","Java, C, Go, R",Not Specified,Not Disclosed,Noida,Onsite,2026-05-25,Adzuna
Java Developer,Intelliswift Software,Frontend / Web,"4 years experience in java development 1 year experience in react.js is mandatory. Fullstack java developer able to build applications with react.js as front end technology and java as back end technology. Skills: Java, J2EE, Struts, Spring, Hibernate (Java), EJB and React.js","Java, C, R, React",Not Specified,"₹800,000 - ₹1,600,000",Bengaluru,Onsite,2026-05-07,Adzuna
Java Developer,Capgemini,Backend / API,"Job Description Job Title: Java Developer/Sr Java Developer /Lead Java Developer Employment Type: Full-time Job Description: We are seeking an experienced and results-driven Java Developer to join our dynamic team. The ideal candidate will have a strong background in designing and building scalable enterprise applications using Java, Spring Boot, and microservices architecture. Play a key role in developing robust backend systems, integrating RESTful APIs, and ensuring high code quality through…","Java, C, Scala, R, Spring Boot, Microservices, ROS",Lead/Principal (8+ yrs),Not Disclosed,Chennai,Onsite,2026-05-02,Adzuna
Java Developer,Thinqor,Backend / API,"Job Title: Senior Java Developer Location: Bangalore Experience: 6 Years Employment Type: Full-time Job Summary We are looking for an experienced Senior Java Developer with 6 years of hands-on experience in designing and developing scalable, high-performance applications. The ideal candidate should have strong expertise in Java, Spring Boot, and Microservices architecture, along with a passion for building robust backend systems. Key Responsibilities Design, develop, test, and maintain Ja…","Java, C, Scala, R, Spring Boot, Microservices, ROS",Senior (5+ yrs),"₹800,000 - ₹1,200,000",Bengaluru,Onsite,2026-05-03,Adzuna
Java Developer,MARS Telecom Systems,Backend / API,"Knowledge & Experience required: · Bachelor's degree in Computer Science Engineering or equivalent degree. · 7 years of development experience as a seasoned Java developer · 7 years of experience in developing enterprise applications using enterprise Java 8 and has worked both on Web and Server side technologies. · A strong Java Backend Developer with Core Java 8, Spring, Spring Boot, Hibernate, REST Web-services. · Expertise in Java Unit Testing Frameworks and tools such as JUnit, TestNG, Mock…","Java, C, R, Spring Boot",Not Specified,"₹700,000 - ₹2,000,000",Hyderabad,Onsite,2026-04-28,Adzuna
Java Developer,kaldan soft,AI / ML / Data Science,"Role: Java Developer Overall: 4 to 8 Years Location: Chennai Notice: Immediate to short joiners Job Description : We are looking for a skilled and enthusiastic Java Developer to join our team in Chennai . The ideal candidate should have strong hands-on experience in Java development with a focus on backend frameworks such as Spring Boot and Hibernate . If you’re passionate about clean code, scalable applications, and delivering robust software solutions—this is the role for you. Key Responsibil…","Java, C, Scala, R, Spring Boot",Not Specified,"₹100,000 - ₹1,200,000",Chennai,Onsite,2026-04-30,Adzuna
Java Developer,Surpassing HR Solution Pvt Ltd,AI / ML / Data Science,"We have urgent Requirement for Java Developer with one of leading IT firm. Experience:- 5yr - 8yrs Qualification:- Computer Science, Engineering or a related field Location:- Mumbai (Thane) Responsibilities:- Maintain up to date code documentation Participating in code reviews Desired Profiles: Degree in Computer Science, Engineering or a related field 2 to 5 years’ experience required You have prior experience in Java development Required hands-on experience of Java Application Frameworks (Str…","Java, C, R",Lead/Principal (8+ yrs),"₹800,000 - ₹1,200,000",Mumbai,Onsite,2026-05-03,Adzuna
Java Developer,Venpa Global Technologies,Game / AR / VR,"Description Venpa Global Technologies is looking for a talented Java Developer to join our innovative team in Hyderabad. This full-time remote position offers an exciting opportunity to contribute to our mission in the Human Resources industry, leveraging technology to enhance HR solutions for our clients. As a Java Developer, you will be responsible for designing and developing high-quality software applications that meet the evolving needs of our customers. You'll work closely with cross-func…","Java, C, R, Unity, ROS",Not Specified,Not Disclosed,Hyderabad,Remote,2026-05-12,Adzuna
Java Developer,Myna Solutions,Backend / API,"Job Title: Sr Java Developer Work Location: Hyderabad Experience:6-8 Years Package:Upto 15 LPA Notice Period:Immediate to 15 days Its a Full Time Opportunity with Our Client Mandatory Skills:Java,J2EE,Spring Boot,Hibernate & Microservices Job Description: In-depth understanding and working of java, Spring Boot, hibernate. Strong object-oriented programming skills in Java Very good knowledge of Core Java and J2EE Proven hands-on Software Development experience Proven working experience in Java d…","Java, C, Go, R, Spring Boot, Microservices, Unity, ROS",Not Specified,"₹1,000,000 - ₹1,500,000",Hyderabad,Onsite,2026-05-05,Adzuna
Java Developer,Wissen Technology,AI / ML / Data Science,"Job Title: Java Developer Experience: 4 –10 Years Location: Mumbai / Bangalore Employment Type: Full-time We are looking for experienced and passionate Java Developers with strong expertise in Core Java, multithreading, and performance tuning. You will be responsible for designing and developing high-performance, scalable, and resilient backend systems. This is an exciting opportunity to work on complex, enterprise-level systems and modern architectures like microservices and event-driven frame…","Java, C, Scala, R, Microservices, Unity, ROS",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-12,Adzuna
java Developer,3i Infotech,AI / ML / Data Science,"java Developer ❮ back to last search 3i Infotech Mumbai 6 - 10 lacs/annum Full time CLOSING SOON Apply for this job
Full Stack Java Developer-Java, Angular 5+, html, css, Springboot, microservices, hibernate, mysql, sql server. Skills:- J2EE, Spring Boot, Hibernate (Java), Angular (2+) and SQL server
Apply for this job
Stats for this job Salary comparison: This job Nationalaverage IT Jobsaverage Maharashtraaverage Salaries
The number of jobs in each salary range for all: Receive similar jobs by email Create alert By creating an alert, you agree to our T&Cs and Privacy Notice, and Cookie Use. Similar jobs Java Developer
5 - 10 lacs/annum
Enrichcom Corporate Services Private Limited
Mumbai Java Developer
18 - 21 lacs/annum
Wowinfobiz
Mumbai Java Developer
6 - 18 lacs/annum
Deqode
Mumbai Java Developer
5 - 10 lacs/annum
Saletancy Consulting Pvt Ltd
Navi Mumbai Java Developer
Coders Brain
Mumbai Popular searches Java developer Java developer in Mumbai Back to last search Jobs
❯
Maharashtra
❯
Mumbai
❯
IT Jobs
❯
java Developer ❮ back to last search Receive similar jobs by email Create alert
No thanks, take me to the job By creating an alert, you agree to our T&Cs and Privacy Notice, and Cookie Use. Apply for this job","Java, C, R, Angular, HTML, CSS, Spring Boot, SQL, MySQL, Microservices, ROS",Not Specified,"₹600,000 - ₹1,000,000",Mumbai,Onsite,2026-05-11,Adzuna
